testsetratio;rfdepth;learners;alphafactor;RF training (sec);RF evaluation (sec);RF accuracy;RORF building (sec);RORF evaluation (sec);RORF accuracy;RORF full evaluation (sec);RORF full accuracy;RF fake accuracy;RORF fake accuracy;RORF fake full accuracy;
0,9;2;12;0,2;0,021131277084350586;0,0030972957611083984;0,7082405345211581;0,21103525161743164;747,319587469101;0,7082405345211581;748,8677775859833;0,7149220489977728;1,0;1,0;1,0;
0,9;2;13;0,2;0,02275681495666504;0,003311634063720703;0,7216035634743875;0,42989683151245117;1709,3706574440002;0,7216035634743875;1709,7921814918518;0,7126948775055679;1,0;1,0;1,0;
0,9;2;14;0,2;0,024349451065063477;0,003331899642944336;0,7572383073496659;0,9229073524475098;3887,5918962955475;0,7572383073496659;3899,486844062805;0,7461024498886414;0,0;0,0;0,0;
0,9;3;2;0,2;0,004975318908691406;0,0014414787292480469;0,6325167037861915;0,0013153553009033203;2,7275912761688232;0,6458797327394209;2,7224349975585938;0,6458797327394209;1,0;1,0;1,0;
0,9;3;3;0,2;0,0065310001373291016;0,001641988754272461;0,732739420935412;0,002274751663208008;4,094367742538452;0,732739420935412;4,157883882522583;0,732739420935412;1,0;1,0;1,0;
0,9;3;4;0,2;0,00798940658569336;0,0018315315246582031;0,6659242761692651;0,002749204635620117;5,7405993938446045;0,6659242761692651;5,8048272132873535;0,6726057906458798;0,0;0,0;0,0;
0,9;3;5;0,2;0,009793758392333984;0,001993417739868164;0,6926503340757239;0,003870248794555664;7,788829565048218;0,6904231625835189;7,843088150024414;0,6837416481069042;1,0;1,0;1,0;
0,9;3;6;0,2;0,011858463287353516;0,0022852420806884766;0,6369710467706013;0,005395412445068359;11,501959323883057;0,6391982182628062;11,642228603363037;0,6458797327394209;1,0;1,0;1,0;
0,9;3;7;0,2;0,014706134796142578;0,0026900768280029297;0,7951002227171492;0,009291887283325195;18,598902940750122;0,7951002227171492;18,778236627578735;0,7973273942093542;1,0;1,0;1,0;
0,9;3;8;0,2;0,014734745025634766;0,002440929412841797;0,6547884187082406;0,012497186660766602;34,58231544494629;0,6592427616926503;34,229809522628784;0,6570155902004454;0,0;0,0;0,0;
0,9;3;9;0,2;0,016113996505737305;0,002611875534057617;0,7594654788418709;0,020781993865966797;68,71639442443848;0,7594654788418709;68,3565022945404;0,7639198218262806;0,0;0,0;0,0;
0,9;3;10;0,2;0,017703771591186523;0,002877950668334961;0,7149220489977728;0,04091787338256836;148,83264684677124;0,7149220489977728;148,3856086730957;0,7149220489977728;1,0;1,0;1,0;
0,9;3;11;0,2;0,019832134246826172;0,0029685497283935547;0,7505567928730512;0,11726236343383789;328,3997640609741;0,7505567928730512;328,67261242866516;0,7416481069042317;0,0;0,0;0,0;
0,9;3;12;0,2;0,021538734436035156;0,003176450729370117;0,6904231625835189;0,18090534210205078;745,6921999454498;0,6904231625835189;746,0950229167938;0,688195991091314;1,0;1,0;1,0;
0,9;3;13;0,2;0,024404525756835938;0,0035219192504882812;0,7015590200445434;0,4522976875305176;1693,7133438587189;0,7015590200445434;1688,822289466858;0,6926503340757239;0,0;0,0;0,0;
0,9;3;14;0,2;0,030010223388671875;0,003524303436279297;0,7394209354120267;0,9941115379333496;3867,891564846039;0,7394209354120267;3887,4050946235657;0,7527839643652561;1,0;1,0;1,0;
0,9;4;2;0,2;0,004837989807128906;0,0014905929565429688;0,688195991091314;0,001466989517211914;2,9824154376983643;0,7126948775055679;3,0044238567352295;0,7126948775055679;0,0;0,0;0,0;
0,9;4;3;0,2;0,0063953399658203125;0,0016252994537353516;0,6926503340757239;0,002340078353881836;4,526035308837891;0,6971046770601337;4,529354810714722;0,6971046770601337;1,0;1,0;1,0;
0,9;4;4;0,2;0,008211374282836914;0,0019588470458984375;0,7572383073496659;0,0032324790954589844;6,1552793979644775;0,755011135857461;6,1680614948272705;0,7527839643652561;1,0;1,0;1,0;
0,9;4;5;0,2;0,009642601013183594;0,0019741058349609375;0,6525612472160356;0,0037212371826171875;8,021440029144287;0,6525612472160356;7,9205169677734375;0,6592427616926503;0,0;0,0;0,0;
0,9;4;6;0,2;0,011708974838256836;0,0022509098052978516;0,7394209354120267;0,005445957183837891;11,906813144683838;0,7394209354120267;11,829859972000122;0,7416481069042317;1,0;1,0;1,0;
0,9;4;7;0,2;0,013120174407958984;0,0024480819702148438;0,6926503340757239;0,008060693740844727;19,21688175201416;0,6971046770601337;19,381113052368164;0,6815144766146993;1,0;1,0;1,0;
0,9;4;8;0,2;0,01473379135131836;0,0027663707733154297;0,755011135857461;0,013277769088745117;34,423794984817505;0,755011135857461;34,82698154449463;0,7683741648106904;1,0;1,0;1,0;
0,9;4;9;0,2;0,016028165817260742;0,0025815963745117188;0,7394209354120267;0,021990060806274414;68,76904940605164;0,7394209354120267;69,28979277610779;0,7416481069042317;1,0;1,0;1,0;
0,9;4;10;0,2;0,01900315284729004;0,003020048141479492;0,7394209354120267;0,0444331169128418;148,95644783973694;0,7371937639198218;149,52149033546448;0,7505567928730512;1,0;1,0;1,0;
0,9;4;11;0,2;0,0326845645904541;0,0041964054107666016;0,6703786191536748;0,19955682754516602;332,687837600708;0,6703786191536748;332,1318006515503;0,6748329621380846;1,0;1,0;1,0;
0,9;4;12;0,2;0,022076129913330078;0,0035126209259033203;0,734966592427617;0,22878670692443848;750,6981246471405;0,734966592427617;748,9009628295898;0,7394209354120267;0,0;0,0;0,0;
0,9;4;13;0,2;0,023774385452270508;0,0033905506134033203;0,7060133630289532;0,417468786239624;1702,0992300510406;0,7060133630289532;1696,460851430893;0,7104677060133631;0,0;0,0;0,0;
0,9;4;14;0,2;0,024410247802734375;0,003381967544555664;0,7505567928730512;0,955190896987915;3833,082827806473;0,7505567928730512;3840,3011610507965;0,7527839643652561;0,0;0,0;0,0;
